Workstream,Canonical Repo Path,Copilot Space,Mirror Status,Owner,Notes
Command Center,state/00_command_center/,TODO_SPACE_LINK,Pending,tbar88,Create Space and attach the folder; update link and set status to Active.
Consulting Pipeline,state/01_consulting_pipeline/,TODO_SPACE_LINK,Pending,tbar88,Create Space and attach the folder; update link and set status to Active.
Target Clients,state/02_target_clients/,TODO_SPACE_LINK,Pending,tbar88,Create Space and attach the folder; update link and set status to Active.
Intake & Qualification,state/03_intake_qualification/,TODO_SPACE_LINK,Pending,tbar88,Create Space and attach the folder; update link and set status to Active.
Marketing Content,state/04_marketing_content/,TODO_SPACE_LINK,Pending,tbar88,Create Space and attach the folder; update link and set status to Active.
Consulting Delivery,state/05_consulting_delivery/,TODO_SPACE_LINK,Pending,tbar88,Create Space and attach the folder; update link and set status to Active.
Practice Support,state/06_practice_support/,TODO_SPACE_LINK,Pending,tbar88,Create Space and attach the folder; update link and set status to Active.
Career Opportunities,state/07_career_opportunities/,TODO_SPACE_LINK,Pending,tbar88,Create Space and attach the folder; update link and set status to Active.
Business Growth,state/08_business_growth/,TODO_SPACE_LINK,Pending,tbar88,Create Space and attach the folder; update link and set status to Active.
Work-Product Refinement,state/10_work_product_refinement/,TODO_SPACE_LINK,Pending,tbar88,Create Space and attach the folder; update link and set status to Active.
